epoch 	 train_loss 	 train_acc 	 test_acc 
0 	 4203.4265 	 73.49 	 73.35 
1 	 4128.7855 	 73.51 	 73.35 
2 	 4097.0719 	 73.51 	 73.35 
3 	 4081.8929 	 73.51 	 73.35 
4 	 4072.3536 	 73.51 	 73.35 
5 	 4060.2988 	 73.51 	 72.84 
6 	 4056.2161 	 73.51 	 73.35 
7 	 4036.2729 	 73.51 	 73.35 
8 	 4029.7182 	 73.51 	 73.35 
9 	 4027.5868 	 73.51 	 73.24 
10 	 4022.2750 	 73.51 	 73.35 
11 	 4016.6900 	 73.51 	 73.32 
12 	 4009.8714 	 73.51 	 73.31 
13 	 4012.3566 	 73.51 	 72.65 
14 	 4009.0176 	 73.51 	 71.36 
15 	 4004.0399 	 73.51 	 71.47 
16 	 4002.0665 	 73.51 	 71.91 
17 	 3996.7235 	 73.51 	 72.26 
18 	 3993.9963 	 73.50 	 72.40 
19 	 3983.2809 	 73.51 	 72.88 
best epoch 0, best acc = 73.35
