epoch 	 train_loss 	 train_acc 	 test_acc 
0 	 3925.1327 	 73.48 	 73.35 
1 	 3689.0488 	 73.53 	 73.40 
2 	 3637.0726 	 73.66 	 73.51 
3 	 3626.9466 	 73.77 	 74.11 
4 	 3600.3073 	 73.94 	 74.33 
5 	 3271.7412 	 76.96 	 80.78 
6 	 2819.4655 	 80.62 	 81.14 
7 	 2608.7929 	 81.87 	 82.98 
8 	 2499.0972 	 82.46 	 83.49 
9 	 2415.6945 	 83.15 	 82.90 
10 	 2350.1204 	 83.53 	 83.67 
11 	 2298.5481 	 83.80 	 83.56 
12 	 2260.3183 	 84.13 	 83.91 
13 	 2227.5871 	 84.33 	 84.31 
14 	 2177.2738 	 84.52 	 83.47 
15 	 2159.1743 	 84.63 	 83.76 
16 	 2114.2981 	 84.94 	 83.77 
17 	 2087.6583 	 85.28 	 82.89 
18 	 2083.5980 	 85.06 	 83.83 
19 	 2057.2382 	 85.08 	 83.59 
best epoch 13, best acc = 84.31
